,微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,sentiment,negative_prob,abnormal
1510,3819,698,626,1,0,0,1,1,0.997825,0.000978753,0
1511,1278,173,551,1,0,1,0,1,0.0,0.632699,0
1512,167,47,318,1,0,0,0,1,0.936763,0.0284567,0
1513,2041,213,100000,1,1,0,0,1,0.402918,0.268687,0
1514,14508,884,390,1,0,0,0,1,-0.999992,0.999996,0
1515,1534,273,295,1,0,0,0,1,0.970926,0.0130835,0
1516,1911,245,24,1,0,0,0,0,-0.723489,0.87557,0
1517,82609,136,6020000,1,1,1,0,1,0.920079,0.0359644,0
1518,49441,313,17000,0,1,1,1,1,0.992137,0.00353827,0
1519,16,22,1,0,0,1,0,1,-0.99505,0.997773,0
1520,3743,2004,280,1,1,14,3,1,0.999921,3.53827e-05,0
1521,58522,93,391000,1,0,56,14,1,-0.784626,0.903082,0
1522,6192,981,137000,1,1,33,0,1,-0.987999,0.9946,0
1523,478,199,18,0,0,0,12,0,0.998643,0.000610774,0
1524,5185,237,2046000,1,1,64,44,1,0.0,0.508887,0
1525,19190,676,352000,1,1,12,8,0,0.950766,0.0221555,0
1526,16,671,154,0,0,9,5,1,0.999353,0.000291026,0
1527,5755,183,479000,1,1,154,19,1,-0.999899,0.999955,0
1528,101,220,25,1,0,51,14,1,-0.999169,0.999626,0
1529,1,83,1,0,0,43,4,1,-0.994037,0.997317,0
1530,33265,1045,152000,1,1,7,1,0,-0.959792,0.981907,0
1531,12227,383,206000,1,1,20,9,0,-0.88836,0.949762,0
1532,25804,292,101000,1,0,21,1,1,-0.950605,0.977772,0
1533,6347,681,3232,1,1,0,0,1,0.998108,0.000851277,0
1534,3,25,1,0,0,4,2,1,-0.999984,0.999993,0
1535,16174,299,25000,1,1,15,3,0,0.998018,0.000891985,0
1536,1206,58,24,1,0,0,0,0,0.99974,0.000117016,0
1537,42534,527,240,0,0,0,0,0,0.951266,0.0219301,0
1538,246,1216,357,1,0,0,0,0,0.999143,0.000385833,0
1539,2771,117,69,1,1,0,2,1,-0.94564,0.975538,0
1540,4333,32,138000,1,1,1,1,1,-0.899128,0.954608,0
1541,985,439,738,1,0,0,0,0,0.0,0.637924,0
1542,19,380,49,0,0,0,0,1,0.914751,0.0383622,0
1543,25458,596,127000,1,1,2,0,1,0.728232,0.122296,0
1544,1822,74,689,1,0,0,0,0,-0.998551,0.999348,0
