微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,positive_prob,sentiment,confidence,negative_prob,abnormal
61442,1960,287000,1,1,15,2,1,0.109065,0,0.757633,0.890935,0
7722,460,191,1,0,8,2,0,0.986931,2,0.970957,0.0130692,0
21439,1134,1714000,1,1,48,9,1,0.834963,2,0.63325,0.165037,0
2944,197,105000,1,1,7,0,0,0.979766,2,0.955035,0.0202342,0
24317,761,11000,1,1,26,30,1,0.902589,2,0.783531,0.097411,0
20833,1264,172000,1,1,5,4,1,0.344244,0,0.235014,0.655756,0
1343,158,23000,1,1,7,6,1,0.956355,2,0.903011,0.043645,0
6240,850,1128000,1,1,22,4,1,0.236286,0,0.474921,0.763714,0
47,8,7070,1,0,295,117,1,0.0122625,0,0.97275,0.987738,0
57777,335,1444000,1,1,41,7,0,0.687729,2,0.306064,0.312271,0
66281,880,9351000,1,1,36,5,1,0.942008,2,0.87113,0.0579917,0
4524,557,1467000,1,1,1958,209,1,0.9531,2,0.895779,0.0468996,0
489,333,441000,1,1,23,1,0,0.989737,2,0.977194,0.0102628,0
2185,132,140000,1,1,87,18,1,0.827792,2,0.617316,0.172208,0
19295,484,54000,1,1,15,0,1,0.995537,2,0.990082,0.00446291,0
251315,8,446000,1,1,619,71,1,9.97098E-05,0,0.999778,0.9999,0
240098,753,31010000,1,1,1522,131,1,0.490007,1,0.800141,0.509993,0
150239,13969,3098000,1,1,44,4,0,0.188016,0,0.582186,0.811984,0
1007,25,1193000,1,1,420,57,1,0.0316734,0,0.929615,0.968327,0
86983,1522,465000,1,1,84,7,1,0.0264878,0,0.941138,0.973512,0
7981,228,609,1,0,1,0,0,0.999923,2,0.999828,7.72687E-05,0
30828,155,146000,1,0,37,14,0,0.0310185,0,0.93107,0.968982,0
79,102,245,1,0,0,0,0,0.101092,0,0.775351,0.898908,0
285,219,60,0,0,0,0,0,0.653931,2,0.230957,0.346069,0
103863,2027,3232,1,0,0,0,0,0.00572544,0,0.987277,0.994275,0
43,156,26,1,0,0,0,1,0.725011,2,0.388914,0.274988,0
261,123,87,1,0,0,0,0,0.797995,2,0.551101,0.202005,0
61345,3442,1118000,1,1,5,0,1,0.0368573,0,0.918095,0.963143,0
1366,232,225,1,0,0,0,0,0.957145,2,0.904767,0.0428547,0
3249,214,490,1,0,1,0,0,0.900321,2,0.778491,0.0996791,0
2284,122,462,1,0,0,0,1,0.559336,2,0.0207467,0.440664,0
11459,71,897000,1,1,4109,340,1,0.97259,2,0.939089,0.02741,0
534,555,416,1,0,0,0,0,0.989619,2,0.976931,0.0103809,0
3665,377,5178,1,0,0,0,1,0.687629,2,0.305842,0.312371,0
361,315,199,1,0,0,0,0,0.985809,2,0.968465,0.0141907,0
23165,741,2708000,0,1,154,44,1,0.0440691,0,0.902069,0.955931,0
291,68,60,0,0,0,0,0,0.999248,2,0.998328,0.000752296,0
7813,2457,171000,1,1,0,0,1,0.0248015,0,0.944886,0.975199,0
5055,1954,77000,1,1,0,0,1,0.667981,2,0.26218,0.332019,0
3405,837,280,1,0,1,0,0,0.0593331,0,0.868149,0.940667,0
152858,3063,151000000,1,1,3192,695,1,0.286587,0,0.363139,0.713413,0
100755,1056,8458000,1,1,206,10,1,0.804297,2,0.565104,0.195703,0
8339,107,140000,1,0,3,0,1,0.992761,2,0.983912,0.00723942,0
2106,142,195,1,0,0,0,0,0.998374,2,0.996388,0.00162558,0
5,12,4,0,0,0,0,0,0.547835,1,0.0433087,0.452165,0
6759,652,594,1,0,0,0,0,0.0135626,0,0.969861,0.986437,0
37490,760,231000,1,1,0,0,1,0.0734503,0,0.836777,0.92655,0
166020,51,491000,1,1,1,0,1,0.00047709,0,0.99894,0.999523,0
478,17,81,0,0,0,0,0,0.999516,2,0.998924,0.00048433,0
14418,3727,16000,1,1,1,0,1,0.343648,0,0.236338,0.656352,0
918,123,224,1,0,0,0,1,0.76246,2,0.472134,0.23754,0
1625,670,296,1,0,2,4,1,0.999695,2,0.999322,0.000305315,0
122,171,235,1,0,7,6,0,0.996024,2,0.991164,0.00397618,0
2395,37,398000,1,1,55,24,0,0.0977174,0,0.78285,0.902283,0
2049,386,24,1,0,8,1,0,0.15639,0,0.652466,0.84361,0
440,367,48,1,0,0,0,0,0.999971,2,0.999936,2.86304E-05,0
