序号,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途,单价（元/平方米）
7402,金牛,马鞍路,3室1厅1厨1卫,中楼层 (共34层),95.85,平层,板塔结合,东,钢混结构,精装,有,44505,商品房,普通住宅,17300
7403,金牛,沙湾,3室1厅1厨1卫,高楼层 (共32层),84.14,平层,板塔结合,东,钢混结构,精装,有,44447,商品房,普通住宅,14800
7404,金牛,花牌坊,3室1厅1厨1卫,中楼层 (共6层),108.48,平层,板楼,东南,砖混结构,毛坯,无,2021/7/8,已购公房,普通住宅,9700
7405,金牛,一品天下,4室2厅1厨2卫,中楼层 (共7层),143.56,平层,板楼,北,砖混结构,简装,无,44434,商品房,普通住宅,13900
7406,金牛,沙湾,3室2厅1厨2卫,低楼层 (共12层),113.33,平层,板楼,南,钢混结构,简装,有,44515,商品房,普通住宅,16000
7407,金牛,五块石,3室1厅1厨1卫,低楼层 (共20层),85.3,平层,板塔结合,南,框架结构,精装,有,44487,商品房,普通住宅,15280
7408,金牛,五块石,3室2厅1厨2卫,中楼层 (共11层),129.44,平层,板楼,东,钢混结构,简装,有,44517,商品房,普通住宅,15000
7409,金牛,金牛万达,3室2厅1厨2卫,高楼层 (共18层),129.0,平层,板塔结合,西北,框架结构,简装,有,44130,商品房,普通住宅,15900
7410,金牛,金牛万达,2室2厅1厨1卫,中楼层 (共32层),73.53,平层,塔楼,南,钢混结构,简装,有,44503,商品房,普通住宅,13980
7411,金牛,花牌坊,3室2厅1厨1卫,低楼层 (共35层),98.17,平层,塔楼,北 东北,框架结构,精装,有,44538,商品房,普通住宅,22200
7412,金牛,金牛万达,3室2厅1厨2卫,高楼层 (共7层),143.38,平层,板楼,南,砖混结构,精装,无,44392,商品房,普通住宅,17200
7413,金牛,花牌坊,3室1厅1厨1卫,高楼层 (共6层),61.4,平层,板楼,南,砖混结构,毛坯,无,2021/12/3,已购公房,普通住宅,5100
7414,金牛,金牛万达,2室2厅1厨1卫,中楼层 (共18层),82.25,平层,板楼,东,框架结构,简装,有,44460,商品房,普通住宅,11200
7415,金牛,花牌坊,2室2厅1厨1卫,高楼层 (共37层),71.74,平层,板楼,东北,钢混结构,精装,有,44543,商品房,普通住宅,16500
7416,金牛,金牛万达,3室2厅1厨1卫,低楼层 (共18层),89.53,平层,板楼,南,框架结构,简装,有,44465,商品房,普通住宅,12800
7417,金牛,抚琴小区,2室1厅1厨1卫,高楼层 (共6层),75.22,平层,板楼,南,砖混结构,简装,无,2021/10/21,已购公房,普通住宅,6500
7418,金牛,花照壁,3室2厅1厨1卫,中楼层 (共32层),88.27,平层,塔楼,东北,钢混结构,简装,有,44476,商品房,普通住宅,12200
7419,金牛,五块石,3室2厅1厨1卫,高楼层 (共33层),87.77,平层,塔楼,南,钢混结构,简装,有,44481,商品房,普通住宅,16400
7420,金牛,金牛万达,2室1厅1厨1卫,高楼层 (共32层),73.16,平层,塔楼,北 西,框架结构,简装,有,44466,商品房,普通住宅,12800
7421,金牛,金牛万达,3室2厅1厨1卫,中楼层 (共7层),108.0,平层,板楼,东南,混合结构,简装,无,44516,商品房,普通住宅,10580
7422,金牛,驷马桥,3室2厅1厨2卫,低楼层 (共24层),103.02,平层,塔楼,西,钢混结构,精装,有,44545,商品房,普通住宅,18500
7423,金牛,金府,1室1厅1厨1卫,高楼层 (共6层),45.28,平层,板楼,东南,框架结构,简装,无,2021/6/10,经济适用房,普通住宅,4400
7424,金牛,西南交大,2室1厅1厨1卫,高楼层 (共7层),85.66,平层,板楼,东南,混合结构,简装,无,2021/4/30,商品房,普通住宅,8500
7425,金牛,金牛万达,1室1厅1厨1卫,低楼层 (共7层),50.23,平层,板楼,东南,混合结构,简装,无,2021/5/17,商品房,普通住宅,5150
7426,金牛,高家庄,2室1厅1厨1卫,中楼层 (共18层),85.05,平层,板楼,东南,钢混结构,精装,有,44414,商品房,普通住宅,11000
7427,金牛,营门口,2室1厅1厨1卫,高楼层 (共6层),75.71,平层,板楼,南,砖混结构,简装,无,2021/10/1,商品房,普通住宅,9500
7428,金牛,五块石,2室1厅1厨1卫,中楼层 (共22层),88.39,平层,板楼,西南,框架结构,简装,有,44430,商品房,普通住宅,12300
7429,金牛,驷马桥,2室1厅1厨1卫,低楼层 (共16层),74.18,平层,塔楼,南,钢混结构,简装,有,44387,商品房,普通住宅,11700
7430,金牛,营门口,2室1厅1厨1卫,低楼层 (共6层),65.11,平层,板楼,东南,框架结构,简装,无,2021/9/25,商品房,普通住宅,8000
7431,金牛,金牛万达,2室1厅1厨1卫,中楼层 (共32层),57.74,平层,塔楼,东,框架结构,简装,有,44514,商品房,普通住宅,12000
7432,金牛,金牛万达,3室2厅1厨1卫,低楼层 (共32层),87.09,平层,塔楼,南,框架结构,精装,有,44350,商品房,普通住宅,17150
7433,金牛,营门口,2室2厅1厨1卫,高楼层 (共33层),80.03,平层,板塔结合,东北,钢混结构,精装,有,44438,商品房,普通住宅,16000
7434,金牛,石人小区,2室1厅1厨1卫,高楼层 (共6层),59.07,平层,板楼,东南,砖混结构,精装,无,2021/4/7,商品房,普通住宅,5500
7435,金牛,沙湾,2室1厅1厨1卫,低楼层 (共31层),77.26,平层,塔楼,西南,钢混结构,精装,有,44448,商品房,普通住宅,14900
7436,金牛,蜀汉路,3室1厅1厨1卫,低楼层 (共6层),93.58,平层,板塔结合,东南,钢混结构,精装,无,44454,商品房,普通住宅,17000
7437,金牛,西南交大,3室1厅1厨1卫,中楼层 (共7层),76.9,平层,板楼,东,混合结构,精装,无,2021/8/20,商品房,普通住宅,9900
7438,金牛,营门口,3室2厅1厨2卫,低楼层 (共33层),127.98,平层,板塔结合,西南,钢混结构,精装,有,44504,商品房,普通住宅,34500
7439,金牛,金牛万达,3室1厅1厨1卫,高楼层 (共7层),110.56,平层,板楼,东南,混合结构,简装,无,2021/6/18,商品房,普通住宅,9500
7440,金牛,沙湾,2室1厅1厨1卫,中楼层 (共29层),74.0,平层,塔楼,东南,框架结构,简装,有,44517,商品房,普通住宅,13130
7441,金牛,金牛万达,2室1厅1厨1卫,中楼层 (共7层),53.61,平层,板楼,东,砖混结构,简装,无,2021/11/23,已购公房,普通住宅,5300
7442,金牛,沙湾,2室1厅1厨1卫,中楼层 (共22层),27.72,跃层,塔楼,南,框架结构,简装,有,2021/11/27,商品房,普通住宅,4450
7443,金牛,国宾,3室2厅1厨2卫,高楼层 (共9层),118.66,平层,板楼,南 北,钢混结构,精装,有,44528,商品房,普通住宅,16000
7444,金牛,高家庄,2室1厅1厨1卫,中楼层 (共16层),79.5,平层,板塔结合,南,钢混结构,简装,有,44309,商品房,普通住宅,13600
7445,金牛,石人小区,2室1厅1厨1卫,高楼层 (共6层),47.5,平层,板楼,南,砖混结构,精装,无,2021/1/14,商品房,普通住宅,4600
7446,金牛,五块石,2室2厅1厨1卫,低楼层 (共21层),65.67,平层,板塔结合,南,钢混结构,精装,有,44501,商品房,普通住宅,11500
7447,金牛,蜀汉路,2室1厅1厨1卫,高楼层 (共6层),67.17,平层,板塔结合,西南,混合结构,精装,无,2021/7/14,商品房,普通住宅,9150
7448,金牛,抚琴小区,2室1厅1厨1卫,中楼层 (共7层),90.44,平层,板塔结合,东南,砖混结构,精装,无,44533,商品房,普通住宅,12500
7449,金牛,石人小区,2室1厅1厨1卫,中楼层 (共6层),62.06,平层,板楼,东南,砖混结构,精装,无,2021/8/13,商品房,普通住宅,7400
7450,金牛,花牌坊,2室1厅1厨1卫,中楼层 (共6层),60.0,平层,板楼,南 北,未知结构,简装,无,2021/10/29,商品房,普通住宅,8200
7451,金牛,金府,2室1厅1厨1卫,中楼层 (共23层),55.49,平层,板塔结合,东南 东北,钢混结构,精装,有,2021/10/19,经济适用房,普通住宅,7000
7452,金牛,沙湾,2室1厅1厨1卫,中楼层 (共7层),64.89,平层,塔楼,东南,砖混结构,精装,无,2021/12/7,已购公房,普通住宅,7880
7453,金牛,五块石,2室1厅1厨1卫,高楼层 (共39层),74.78,平层,塔楼,南,框架结构,精装,有,44495,商品房,普通住宅,11900
7454,金牛,五块石,2室2厅1厨1卫,中楼层 (共17层),61.36,平层,板楼,南,钢混结构,精装,无,2021/12/4,商品房,普通住宅,9280
7455,金牛,高家庄,2室1厅1厨1卫,中楼层 (共6层),61.0,平层,板楼,东南,混合结构,简装,无,2021/12/4,商品房,普通住宅,5900
7456,金牛,金牛万达,1室1厅1厨1卫,高楼层 (共6层),44.78,平层,板塔结合,东,砖混结构,简装,无,2021/9/24,拆迁安置房,普通住宅,3500
7457,金牛,国宾,2室2厅1厨2卫,低楼层 (共11层),99.32,平层,板塔结合,东南,框架结构,精装,有,44381,商品房,普通住宅,13000
7458,金牛,沙湾,2室2厅1厨1卫,中楼层 (共6层),73.62,平层,塔楼,南 北,砖混结构,简装,无,2021/10/26,商品房,普通住宅,7900
7459,金牛,金牛万达,2室1厅1厨1卫,高楼层 (共6层),58.69,平层,板楼,南,砖混结构,精装,无,2021/4/4,商品房,普通住宅,5850
7460,金牛,五块石,2室1厅1厨1卫,高楼层 (共32层),51.74,平层,板楼,东,钢混结构,简装,有,2021/10/18,商品房,普通住宅,8350
