,类别,行政区,点评数,口味,环境,服务,人均消费
5753,西餐,K,2876.0,8.2,8.8,8.3,163.0
5754,西餐,K,578.0,8.4,8.8,8.6,162.0
5755,啡厅,K,286.0,7.6,8.2,7.6,54.0
5756,烧烤,K,2743.0,8.9,9.1,9.1,145.0
5757,烧烤,K,6085.0,8.1,7.9,7.6,274.0
5766,疆菜,K,2.0,7.0,7.1,7.1,29.0
5767,粤菜,K,6423.0,7.4,7.4,6.8,87.0
5768,火锅,K,1261.0,8.2,8.9,8.9,169.0
5769,火锅,K,5045.0,8.3,8.4,8.2,144.0
5770,料理,K,1798.0,7.6,7.9,8.4,115.0
5771,啡厅,K,489.0,8.2,8.2,8.0,42.0
5776,火锅,K,516.0,8.2,7.3,7.5,33.0
5777,本菜,K,1134.0,7.7,7.4,7.4,27.0
5779,快餐,K,27.0,7.1,7.1,7.2,19.0
5780,快餐,K,49.0,8.1,8.2,7.8,14.0
5781,甜点,K,18.0,8.0,7.8,8.0,13.0
5782,烧烤,K,6327.0,7.5,7.4,7.1,83.0
5784,火锅,K,173.0,7.1,7.0,7.0,49.0
5785,快餐,K,370.0,7.4,7.1,7.4,32.0
5786,烧烤,K,876.0,8.4,8.5,8.2,82.0
5787,美食,K,3.0,7.1,7.1,7.1,15.0
5788,甜点,K,35.0,7.1,7.5,7.2,20.0
5789,烧烤,K,1.0,7.1,7.1,7.1,18.0
5792,烧烤,K,9.0,7.2,7.0,7.1,31.0
5793,甜点,K,361.0,8.7,8.6,8.7,202.0
5795,美食,K,49.0,6.5,6.4,6.4,53.0
5796,疆菜,K,67.0,8.3,7.2,7.6,15.0
5797,浙菜,K,20.0,7.2,7.2,7.3,113.0
5800,西餐,K,1091.0,8.8,9.1,8.7,87.0
5802,川菜,K,5568.0,7.6,7.9,7.8,99.0
5803,火锅,K,2624.0,8.8,8.7,8.8,133.0
5804,快餐,K,586.0,7.9,7.7,7.6,32.0
5805,本菜,K,9809.0,8.3,8.3,8.5,114.0
5807,亚菜,K,3424.0,8.5,8.7,8.4,110.0
5808,甜点,K,358.0,8.0,8.5,8.0,39.0
5814,西餐,K,689.0,8.1,7.9,8.0,42.0
5815,甜点,K,1479.0,8.2,7.9,7.9,28.0
5823,海鲜,K,196.0,8.6,7.6,8.1,70.0
5825,美食,K,26.0,7.2,6.9,6.9,69.0
5828,湾菜,K,69.0,5.8,5.7,5.7,83.0
5830,粤菜,K,7120.0,7.6,7.9,7.6,85.0
5831,火锅,K,5774.0,8.2,8.5,8.1,137.0
5832,快餐,K,80.0,7.4,7.7,7.4,20.0
5833,本菜,K,160.0,7.8,7.8,8.1,76.0
5834,西餐,K,51.0,8.5,8.2,8.8,95.0
5835,西餐,K,1502.0,8.0,8.3,7.7,84.0
5836,甜点,K,159.0,8.5,8.5,8.6,20.0
5837,甜点,K,157.0,8.3,8.4,8.4,21.0
5838,甜点,K,366.0,8.0,8.2,7.8,49.0
5839,甜点,K,22.0,8.0,8.2,8.2,34.0
5844,浙菜,K,36.0,7.6,7.0,7.4,48.0
5846,助餐,K,282.0,7.5,7.4,7.7,90.0
5848,火锅,K,2129.0,8.3,7.7,7.7,89.0
5849,火锅,K,252.0,7.7,7.8,7.5,64.0
5850,甜点,K,135.0,7.8,8.1,8.0,18.0
5851,北菜,K,2.0,7.0,7.0,7.0,19.0
5852,快餐,K,152.0,7.2,7.2,6.7,45.0
5854,甜点,K,74.0,7.5,8.0,7.9,19.0
5857,湘菜,K,1.0,7.5,7.2,6.8,44.0
5858,甜点,K,86.0,7.1,6.6,6.9,18.0
5861,粤菜,K,1278.0,8.5,8.5,8.5,125.0
5862,粤菜,K,1521.0,8.2,8.1,8.3,109.0
5863,粤菜,K,69.0,8.1,7.4,8.0,67.0
5865,湘菜,K,808.0,8.4,8.8,8.3,94.0
5866,火锅,K,9893.0,8.5,8.6,8.3,114.0
5867,快餐,K,3863.0,7.3,7.2,7.3,36.0
5868,快餐,K,267.0,7.3,7.3,7.0,19.0
5869,本菜,K,681.0,9.0,9.0,9.1,440.0
5870,本菜,K,415.0,7.2,7.1,6.8,48.0
5872,料理,K,400.0,8.5,8.4,9.0,129.0
5873,料理,K,1133.0,8.7,9.0,9.1,63.0
5875,甜点,K,6513.0,8.3,8.0,7.9,21.0
5876,甜点,K,1059.0,7.6,7.5,7.3,38.0
5877,甜点,K,503.0,8.1,7.8,7.6,16.0
5878,甜点,K,271.0,7.6,7.8,7.8,20.0
5879,甜点,K,1907.0,7.8,7.8,7.7,25.0
5880,甜点,K,261.0,7.7,8.2,8.3,18.0
5881,南菜,K,14663.0,8.1,8.9,8.4,94.0
5882,北菜,K,9774.0,8.4,8.3,8.5,91.0
5884,快餐,K,314.0,7.6,7.6,7.4,32.0
5885,西餐,K,62.0,7.5,7.5,7.7,102.0
5887,火锅,K,44.0,7.3,7.1,7.7,89.0
5888,浙菜,K,58.0,7.2,7.1,6.9,88.0
5890,浙菜,K,185.0,7.1,6.8,6.7,22.0
5892,川菜,K,12.0,7.5,7.4,7.7,46.0
5893,火锅,K,158.0,9.1,9.1,9.1,131.0
5895,浙菜,K,152.0,9.2,9.2,9.2,387.0
5898,川菜,K,66.0,6.8,7.0,7.2,70.0
5899,火锅,K,72.0,6.8,6.7,6.6,53.0
5900,快餐,K,95.0,7.4,7.1,7.1,29.0
5903,湘菜,K,30.0,6.8,6.5,6.6,52.0
5905,川菜,K,86.0,6.7,6.3,6.5,40.0
5909,浙菜,K,2350.0,7.5,7.8,7.4,185.0
5914,川菜,K,8.0,7.1,7.1,7.1,35.0
5916,湘菜,K,4.0,6.8,6.9,6.9,30.0
5917,龙虾,K,26.0,7.3,7.1,7.3,39.0
5919,快餐,K,131.0,7.1,7.0,6.9,34.0
5921,浙菜,K,27.0,7.2,7.2,7.1,123.0
5923,甜点,K,69.0,7.2,7.3,7.1,160.0
5925,浙菜,K,2506.0,8.7,9.0,8.5,213.0
5928,火锅,K,107.0,7.6,7.7,7.5,107.0
